ID,"LICENSE ID","ACCOUNT NUMBER","SITE NUMBER","LEGAL NAME","DOING BUSINESS AS NAME",ADDRESS,CITY,STATE,"ZIP CODE",WARD,PRECINCT,"WARD PRECINCT","POLICE DISTRICT","LICENSE CODE","LICENSE DESCRIPTION","BUSINESS ACTIVITY ID","BUSINESS ACTIVITY","LICENSE NUMBER","APPLICATION TYPE","APPLICATION CREATED DATE","APPLICATION REQUIREMENTS COMPLETE","PAYMENT DATE","CONDITIONAL APPROVAL","LICENSE TERM START DATE","LICENSE TERM EXPIRATION DATE","LICENSE APPROVED FOR ISSUANCE","DATE ISSUED","LICENSE STATUS","LICENSE STATUS CHANGE DATE",SSA,LATITUDE,LONGITUDE,LOCATION,DI_CreateDate,DI_WorkflowFileName,APPLICATION_CREATED_DATE_CONVERTED,PAYMENT_DATE_CONVERTED,"LICENSE_TERM_START DATE_CONVERTED","LICENSE TERM EXPIRATION DATE CONVERTED","DATE ISSUED CONVERTED","LICENSE STATUS CHANGE DATE CONVERTED"
2270588-20210716,2789675,382742,1,"ALTUS RECEIVABLES MANAGEMENT, INC.","Altus Receivables Management, Inc.","2400  VETERANS BLVD  300",KENNER,LA,70062,NULL,NULL,NULL,NULL,4404,"Regulated Business License",912,"Debt Collecting - Administrative Commercial Office",2270588,RENEW,NULL,05/15/2021,06/28/2021,N,07/16/2021,07/15/2023,06/28/2021,06/29/2021,AAC,05/11/2022,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2021-06-28 00:00:00","2021-07-16 00:00:00","2023-07-15 00:00:00","2021-06-29 00:00:00","2022-05-11 00:00:00"
1899783-20130316,2228443,330192,1,"ELIAS A. KANELLOPOULOS","RITZ CLEANERS","200 E DELAWARE PL 1",CHICAGO,IL,60611,2,13,2-13,18,1010,"Limited Business License",648,"Dry Cleaning - Drop Off Location",1899783,RENEW,NULL,01/17/2013,03/04/2013,N,03/16/2013,03/15/2015,03/04/2013,03/05/2013,AAI,NULL,NULL,41.899354739,-87.621791302,"(41.89935473944382, -87.621791301926)","2022-10-06 12:53:44",test,NULL,"2013-03-04 00:00:00","2013-03-16 00:00:00","2015-03-15 00:00:00","2013-03-05 00:00:00",NULL
2204799-20220516,2836835,38685,2,"U.S.WATERPROOFING & CONSTRUCTION CO","U.S. WATERPROOFING & CONSTRUCTION CO.","5650  MEADOWBROOK","ROLLING MEADOWS",IL,60008,NULL,NULL,NULL,NULL,4404,"Regulated Business License",673,"Home Repair Services",2204799,RENEW,NULL,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-05-16 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
2564426-20220216,2826383,422754,1,"EL RANCHITO TACOS CORP.","EL RANCHITO TACOS","2300 S THROOP ST",CHICAGO,IL,60608,25,2,25-2,12,4405,"Mobile Food License",734,"Preparation and Sale of Food (ONLY) from a Mobile Food Truck (Mobile Food Preparer)",2564426,RENEW,NULL,12/15/2021,01/10/2022,N,02/16/2022,02/15/2024,03/08/2022,05/11/2022,AAI,NULL,NULL,41.850451024,-87.658797856,"(41.85045102427, -87.65879785567869)","2022-10-06 12:53:44",test,NULL,"2022-01-10 00:00:00","2022-02-16 00:00:00","2024-02-15 00:00:00","2022-05-11 00:00:00",NULL
2617270-20220916,2857497,1611,6,"TTX COMPANY","TTX COMPANY","361 W 47TH ST",CHICAGO,IL,60609,3,NULL,3-,NULL,1010,"Limited Business License",708,"Miscellaneous Commercial Services",2617270,RENEW,NULL,07/15/2022,08/05/2022,N,09/16/2022,09/15/2024,08/05/2022,08/08/2022,AAI,NULL,NULL,41.808938504,-87.635719386,"(41.80893850393111, -87.63571938599527)","2022-10-06 12:53:44",test,NULL,"2022-08-05 00:00:00","2022-09-16 00:00:00","2024-09-15 00:00:00","2022-08-08 00:00:00",NULL
1816833-20220516,2837808,315804,1,"FLILLIAN CORPORATION",7-ELEVEN,"833 W VAN BUREN ST 1",CHICAGO,IL,60607,25,6,25-6,12,1006,"Retail Food Establishment",775,"Retail Sales of Perishable Foods",1816833,RENEW,NULL,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,05/11/2022,AAI,NULL,16,41.876543847,-87.648472222,"(41.876543846685756, -87.64847222242669)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-05-16 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
2289988-20151016,2422704,385607,1,"360 CONSTRUCTION LLC","360 CONSTRUCTION LLC","1830 S ALLPORT ST",CHICAGO,IL,60608,25,28,25-28,12,4404,"Regulated Business License",674,"Home Repair Services (Home Based Business)",2289988,RENEW,NULL,08/15/2015,10/29/2015,N,10/16/2015,10/15/2017,10/29/2015,10/29/2015,AAI,NULL,NULL,41.856994657,-87.657769633,"(41.85699465721177, -87.6577696330932)","2022-10-06 12:53:44",test,NULL,"2015-10-29 00:00:00","2015-10-16 00:00:00","2017-10-15 00:00:00","2015-10-29 00:00:00",NULL
2758229-20201215,2758229,471631,1,"TAQUERIA CHINGON LLC","TAQUERIA CHINGON LLC","2234 N WESTERN AVE",CHICAGO,IL,60647,1,NULL,1-,NULL,1006,"Retail Food Establishment","781 | 1050","Sale of Food Prepared Onsite With Dining Area | Preparation and Sale of Coffee and/or Drinks",2758229,ISSUE,11/12/2020,11/12/2020,11/17/2020,N,12/15/2020,12/15/2022,12/14/2020,12/15/2020,AAI,NULL,33,41.922650691,-87.687719672,"(41.92265069127367, -87.68771967162458)","2022-10-06 12:53:44",test,"2020-11-12 00:00:00","2020-11-17 00:00:00","2020-12-15 00:00:00","2022-12-15 00:00:00","2020-12-15 00:00:00",NULL
1645112-20210416,2772274,36700,2,"CUSTOM ENVIROMENTAL INC","CUSTOM ENVIROMENTAL INC.","477  SUNNYSIDE AVE",GURNEE,IL,60031,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1645112,RENEW,NULL,02/15/2021,03/14/2021,N,04/16/2021,04/15/2023,03/14/2021,03/15/2021,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2021-03-14 00:00:00","2021-04-16 00:00:00","2023-04-15 00:00:00","2021-03-15 00:00:00",NULL
1121869-20040216,1452052,23009,3,"CROWN BUILDING CONTRACTORS, INC.","CROWN BUILDING CONTRACTORS, INC.","15  SPINNING WHEEL RD  34",HINSDALE,IL,60521,NULL,NULL,NULL,NULL,1011,"Home Repair",NULL,NULL,1121869,RENEW,NULL,12/15/2003,01/12/2004,N,02/16/2004,02/15/2005,12/22/2003,05/09/2006,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2004-01-12 00:00:00","2004-02-16 00:00:00","2005-02-15 00:00:00","2006-05-09 00:00:00",NULL
24454-20040216,1453693,30050,1,"RONALD J WASHINGTON","HART REMODELING & HOME IMPROVE","3831 W 178 ST  1","COUNTRY CLUB HILLS",IL,60478,NULL,NULL,NULL,NULL,1011,"Home Repair",NULL,NULL,24454,RENEW,NULL,12/15/2003,01/21/2004,N,02/16/2004,02/15/2005,12/22/2003,07/07/2006,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2004-01-21 00:00:00","2004-02-16 00:00:00","2005-02-15 00:00:00","2006-07-07 00:00:00",NULL
2713180-20220216,2826983,466417,1,"ALAN JOSEPH SHOP LLC","ALAN JOSEPH SHOP LLC","5320 N SHERIDAN RD  2509",CHICAGO,IL,60640,48,NULL,48-,NULL,4404,"Regulated Business License",722,"Online Sales (Home Based Business)",2713180,RENEW,NULL,12/15/2021,08/06/2022,N,02/16/2022,02/15/2024,08/06/2022,08/08/2022,AAI,NULL,NULL,41.978888434,-87.655194639,"(41.978888433706665, -87.65519463880716)","2022-10-06 12:53:44",test,NULL,"2022-08-06 00:00:00","2022-02-16 00:00:00","2024-02-15 00:00:00","2022-08-08 00:00:00",NULL
2846126-20220511,2846126,398666,3,"SH ENTREPRISES, LLC","Chicago Metro North","4750 N SHERIDAN RD 4TH FLOOR 433",CHICAGO,IL,60640,46,NULL,46-,NULL,1010,"Limited Business License",464,"Provide Home Health Care Services",2846126,C_LOC,05/09/2022,05/09/2022,05/10/2022,N,05/11/2022,06/15/2023,05/10/2022,05/11/2022,AAI,NULL,34,41.96875259,-87.654963263,"(41.96875258991914, -87.65496326268006)","2022-10-06 12:53:44",test,"2022-05-09 00:00:00","2022-05-10 00:00:00","2022-05-11 00:00:00","2023-06-15 00:00:00","2022-05-11 00:00:00",NULL
2289988-20191016,2687515,385607,1,"360 CONSTRUCTION LLC","360 CONSTRUCTION LLC","1830 S ALLPORT ST",CHICAGO,IL,60608,25,28,25-28,12,4404,"Regulated Business License",674,"Home Repair Services (Home Based Business)",2289988,RENEW,NULL,08/15/2019,11/07/2019,N,10/16/2019,10/15/2021,11/07/2019,11/07/2019,AAI,NULL,NULL,41.856994657,-87.657769633,"(41.85699465721177, -87.6577696330932)","2022-10-06 12:53:44",test,NULL,"2019-11-07 00:00:00","2019-10-16 00:00:00","2021-10-15 00:00:00","2019-11-07 00:00:00",NULL
16652-20040216,1457305,51767,1,"TIP TOP BUILDERS INC","TIP TOP BUILDERS INC","8255  KIMBAL   1ST",SKOKIE,IL,60076,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,16652,RENEW,NULL,12/15/2003,06/18/2009,N,02/16/2004,02/15/2005,12/22/2003,06/19/2009,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2009-06-18 00:00:00","2004-02-16 00:00:00","2005-02-15 00:00:00","2009-06-19 00:00:00",NULL
2807513-20220808,2807513,478046,1,"NEXT GENERATION GROUP CORP.","SONYAE'S CARING HANDS","8625 S COTTAGE GROVE AVE",CHICAGO,IL,60619,8,40,8-40,6,1023,"Children's Services Facility License","823 | 825","Supervision of, and Care for, Children 2-6 Years of Age, During the Day between 6am-9pm | Supervision of, and Care for, Children Under 2 Years of Age, During the Day between 6am-9pm",2807513,ISSUE,08/16/2021,03/17/2022,03/17/2022,N,08/08/2022,08/15/2024,08/08/2022,08/08/2022,AAI,NULL,51,41.737699471,-87.60470701,"(41.737699470982605, -87.60470700986774)","2022-10-06 12:53:44",test,"2021-08-16 00:00:00","2022-03-17 00:00:00","2022-08-08 00:00:00","2024-08-15 00:00:00","2022-08-08 00:00:00",NULL
1476068-20080916,1918051,64603,4,"LEOPARDO COMPANIES INC.","LEOPARDO COMPANIES INC","333 W WACKER DR 2ND 250",CHICAGO,IL,60606,42,NULL,42-,1,1010,"Limited Business License",NULL,NULL,1476068,RENEW,NULL,07/15/2008,08/28/2008,N,09/16/2008,09/15/2010,08/28/2008,08/29/2008,AAI,NULL,NULL,41.886025413,-87.636297703,"(41.886025412541144, -87.63629770323044)","2022-10-06 12:53:44",test,NULL,"2008-08-28 00:00:00","2008-09-16 00:00:00","2010-09-15 00:00:00","2008-08-29 00:00:00",NULL
2511413-20190516,2657182,413393,26,"SSP AMERICA, INC.","ORANGE LINE","5700 S CICERO AVE  CB12ACB12B",CHICAGO,IL,60638,23,41,23-41,8,1475,"Consumption on Premises - Incidental Activity",638,"Consumption of Liquor on Premises",2511413,RENEW,NULL,03/15/2019,05/01/2019,N,05/16/2019,07/15/2021,05/01/2019,05/02/2019,AAI,NULL,NULL,41.789329323,-87.741645644,"(41.789329323265385, -87.74164564419637)","2022-10-06 12:53:44",test,NULL,"2019-05-01 00:00:00","2019-05-16 00:00:00","2021-07-15 00:00:00","2019-05-02 00:00:00",NULL
2616260-20220816,2855512,429538,1,"VIP NAILS & SPA CHICAGO, INC.","VIP NAILS & SPA","1514 S WABASH AVE",CHICAGO,IL,60605,3,14,3-14,1,1010,"Limited Business License",895,"Nail Services",2616260,RENEW,NULL,06/15/2022,08/08/2022,N,08/16/2022,08/15/2024,08/08/2022,08/08/2022,AAI,NULL,NULL,41.861477991,-87.625839756,"(41.8614779911775, -87.6258397557745)","2022-10-06 12:53:44",test,NULL,"2022-08-08 00:00:00","2022-08-16 00:00:00","2024-08-15 00:00:00","2022-08-08 00:00:00",NULL
2589133-20220616,2844431,426197,1,"ANKEDO'S STYLE LLC","ANKEDO'S STYLE LLC","2024 W MONTROSE AVE",CHICAGO,IL,60618,47,28,47-28,19,1010,"Limited Business License",894,"Hair Services",2589133,RENEW,NULL,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,NULL,31,41.961553456,-87.680025365,"(41.96155345600176, -87.68002536541813)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-06-16 00:00:00","2024-06-15 00:00:00","2022-05-11 00:00:00",NULL
1304245-20200916,2748969,256096,1,"FOUR A'S FOOD INC","FOUR A'S FOOD INC","603 S SACRAMENTO BLVD",CHICAGO,IL,60612,28,41,28-41,11,1006,"Retail Food Establishment",775,"Retail Sales of Perishable Foods",1304245,RENEW,NULL,08/18/2020,08/21/2020,N,09/16/2020,09/15/2022,08/21/2020,08/24/2020,AAC,05/11/2022,NULL,41.873635148,-87.700862238,"(41.87363514754481, -87.70086223773322)","2022-10-06 12:53:44",test,NULL,"2020-08-21 00:00:00","2020-09-16 00:00:00","2022-09-15 00:00:00","2020-08-24 00:00:00","2022-05-11 00:00:00"
2137439-20220516,2838289,369301,1,"2114 W. DIVISION STREET, LLC","OSTERIA RUSTICANA","2114 W DIVISION ST 1ST",CHICAGO,IL,60622,2,16,2-16,14,1006,"Retail Food Establishment",775,"Retail Sales of Perishable Foods",2137439,RENEW,NULL,03/15/2022,05/10/2022,N,05/16/2022,05/15/2024,05/10/2022,05/11/2022,AAI,NULL,33,41.903245759,-87.680355265,"(41.90324575893042, -87.68035526472148)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-05-16 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
2840595-20220511,2840595,392906,25,"FOXTROT VENTURES, INCORPORATED",Foxtrot,"3649 N CLARK ST 1",CHICAGO,IL,60613,44,NULL,44-,NULL,1477,"Outdoor Patio",784,"Sale of Liquor Outdoors on Private Property",2840595,ISSUE,03/30/2022,04/01/2022,03/30/2022,N,05/11/2022,05/15/2024,05/11/2022,05/11/2022,AAI,NULL,17,41.948480847,-87.657372263,"(41.94848084659548, -87.65737226343279)","2022-10-06 12:53:44",test,"2022-03-30 00:00:00","2022-03-30 00:00:00","2022-05-11 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
1476068-20061116,1753620,64603,4,"LEOPARDO COMPANIES INC.","LEOPARDO COMPANIES INC","333 W WACKER DR 2ND 250",CHICAGO,IL,60606,42,NULL,42-,1,1010,"Limited Business License",NULL,NULL,1476068,RENEW,NULL,09/20/2006,11/03/2006,N,11/16/2006,11/15/2007,11/03/2006,11/06/2006,AAI,NULL,NULL,41.886025413,-87.636297703,"(41.886025412541144, -87.63629770323044)","2022-10-06 12:53:44",test,NULL,"2006-11-03 00:00:00","2006-11-16 00:00:00","2007-11-15 00:00:00","2006-11-06 00:00:00",NULL
2600655-20220616,2844533,427731,1,"THE GILDED LILY LLC","THE GILDED LILY LLC","2741 N SPAULDING AVE",CHICAGO,IL,60647,35,NULL,35-,NULL,1010,"Limited Business License","144 | 894 | 904","Hair, Nail, and Skin Care Services | Hair Services | Retail Sales of General Merchandise",2600655,RENEW,NULL,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,41.931181349,-87.710140766,"(41.931181348538416, -87.71014076619093)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-06-16 00:00:00","2024-06-15 00:00:00","2022-05-11 00:00:00",NULL
2464244-20220116,2821608,406023,1,"MAK FUEL & MINI MART, INC.","AMSTAR FUEL & MINI MART","1900 S PULASKI RD 1ST",CHICAGO,IL,60623,24,45,24-45,10,1781,Tobacco,"936 | 937","Retail Sales of Tobacco Accessories | Retail Sales of Tobacco and Flavored Tobacco Products",2464244,RENEW,NULL,11/15/2021,04/27/2022,N,01/16/2022,01/15/2023,04/27/2022,05/11/2022,AAI,NULL,NULL,41.854983132,-87.724996483,"(41.85498313235789, -87.72499648315791)","2022-10-06 12:53:44",test,NULL,"2022-04-27 00:00:00","2022-01-16 00:00:00","2023-01-15 00:00:00","2022-05-11 00:00:00",NULL
1196871-20040216,1463648,222193,1,"TARGET AIRE INC","TARGET AIRE INC","31632 N ELLIS   105",VOLO,IL,60073,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1196871,RENEW,NULL,12/15/2003,02/04/2004,N,02/16/2004,02/15/2005,12/22/2003,05/11/2010,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2004-02-04 00:00:00","2004-02-16 00:00:00","2005-02-15 00:00:00","2010-05-11 00:00:00",NULL
21050-20220716,2846974,63320,2,"DANA LIQUORS, INC.","ROTHSCHILD LIQUORS","124 E PERSHING RD 1ST",CHICAGO,IL,60653,3,33,3-33,2,1781,Tobacco,763,"Retail Sale of Tobacco",21050,RENEW,NULL,05/15/2022,08/05/2022,N,07/16/2022,07/15/2023,08/05/2022,08/08/2022,AAI,NULL,NULL,41.823879687,-87.622029246,"(41.82387968683469, -87.62202924559631)","2022-10-06 12:53:44",test,NULL,"2022-08-05 00:00:00","2022-07-16 00:00:00","2023-07-15 00:00:00","2022-08-08 00:00:00",NULL
2263778-20130612,2263778,381911,1,"A&J MUFFLERS AND BRAKES CORP.","ABY'S SHOP","4146-4148 S WESTERN AVE 1ST",CHICAGO,IL,60609,12,21,12-21,9,8340,"Motor Vehicle Services License",712,"Motor Vehicle Repair -  Engine and Transmission Work",2263778,ISSUE,NULL,06/11/2013,06/11/2013,N,06/12/2013,06/15/2015,06/11/2013,06/12/2013,AAI,NULL,NULL,41.817928961,-87.6848298,"(41.81792896055436, -87.68482980036839)","2022-10-06 12:53:44",test,NULL,"2013-06-11 00:00:00","2013-06-12 00:00:00","2015-06-15 00:00:00","2013-06-12 00:00:00",NULL
2617141-20220816,2855559,429977,1,"MA DOLORES GONZALEZ","SALON LOLIS","9958 S COMMERCIAL AVE 1ST",CHICAGO,IL,60617,10,7,10-7,4,1010,"Limited Business License","894 | 904 | 956","Hair Services | Retail Sales of General Merchandise | Provide Waxing Services",2617141,RENEW,NULL,06/15/2022,08/06/2022,N,08/16/2022,08/15/2024,08/06/2022,08/08/2022,AAI,NULL,NULL,41.713715969,-87.551091672,"(41.71371596887936, -87.55109167232813)","2022-10-06 12:53:44",test,NULL,"2022-08-06 00:00:00","2022-08-16 00:00:00","2024-08-15 00:00:00","2022-08-08 00:00:00",NULL
2511413-20170511,2511413,413393,26,"SSP AMERICA, INC.","ORANGE LINE","5700 S CICERO AVE  CB12ACB12B",CHICAGO,IL,60638,23,41,23-41,8,1475,"Consumption on Premises - Incidental Activity",638,"Consumption of Liquor on Premises",2511413,ISSUE,02/01/2017,03/27/2017,03/27/2017,N,05/11/2017,05/15/2019,05/11/2017,05/11/2017,AAI,NULL,NULL,41.789329323,-87.741645644,"(41.789329323265385, -87.74164564419637)","2022-10-06 12:53:44",test,"2017-02-01 00:00:00","2017-03-27 00:00:00","2017-05-11 00:00:00","2019-05-15 00:00:00","2017-05-11 00:00:00",NULL
2179584-20140816,2340090,374703,1,"SAE INSTITUTE OF TECHNOLOGY (CHICAGO) CORP.","SAE INSTITUTE","820 N ORLEANS ST 1ST 125-135",CHICAGO,IL,60610,27,NULL,27-,NULL,1010,"Limited Business License",NULL,NULL,2179584,RENEW,NULL,06/15/2014,06/26/2014,N,08/16/2014,08/15/2016,06/26/2014,10/28/2015,AAI,NULL,NULL,41.897338047,-87.63734543,"(41.897338047455214, -87.63734543001038)","2022-10-06 12:53:44",test,NULL,"2014-06-26 00:00:00","2014-08-16 00:00:00","2016-08-15 00:00:00","2015-10-28 00:00:00",NULL
1046444-20220616,2842419,204116,1,"REAL TASTE NOODLE MFG, INC","REAL TASTE NOODLE MFG","1838 S CANAL ST",CHICAGO,IL,60616,25,14,25-14,12,1007,"Wholesale Food Establishment",864,"Wholesale Food Sales",1046444,RENEW,NULL,04/15/2022,05/10/2022,N,06/16/2022,06/15/2024,05/10/2022,05/11/2022,AAI,NULL,NULL,41.856544327,-87.639043324,"(41.856544327269404, -87.63904332403165)","2022-10-06 12:53:44",test,NULL,"2022-05-10 00:00:00","2022-06-16 00:00:00","2024-06-15 00:00:00","2022-05-11 00:00:00",NULL
21779-20150316,2375554,29359,1,"L MARSHALL INC","L MARSHALL INC","2100  LEHIGH AVE  1ST",GLENVIEW,IL,60025,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,21779,RENEW,NULL,01/16/2015,02/18/2015,N,03/16/2015,03/15/2017,02/18/2015,02/19/2015,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2015-02-18 00:00:00","2015-03-16 00:00:00","2017-03-15 00:00:00","2015-02-19 00:00:00",NULL
1273915-20040216,1465322,251852,1,"PAPPAS TRANSPORT INC.","PAPPAS CONSTRUCTION CO.","8605 1/2 N LINCOLN AVE  B","MORTON GROVE",IL,60053,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1273915,RENEW,NULL,12/15/2003,06/22/2007,N,02/16/2004,02/15/2005,12/22/2003,06/22/2007,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2007-06-22 00:00:00","2004-02-16 00:00:00","2005-02-15 00:00:00","2007-06-22 00:00:00",NULL
2293835-20220516,2838575,386117,1,"FLYING SQUIRREL INDUSTRIES LLC","SLIPPERY SLOPE","2357 N MILWAUKEE AVE 1 & 2",CHICAGO,IL,60647,1,10,1-10,14,1006,"Retail Food Establishment",736,"Preparation of Food, Coffee or Drinks",2293835,RENEW,NULL,03/15/2022,05/11/2022,N,05/16/2022,05/15/2024,05/11/2022,05/11/2022,AAI,NULL,NULL,41.924150306,-87.699150883,"(41.92415030562805, -87.69915088269197)","2022-10-06 12:53:44",test,NULL,"2022-05-11 00:00:00","2022-05-16 00:00:00","2024-05-15 00:00:00","2022-05-11 00:00:00",NULL
1305272-20040216,1466144,256534,1,"D T N MARKET ACCESS, LLC","D T N MARKET ACCESS , LLC","9110 W DODGE RD  200",OMAHA,NE,68114,NULL,NULL,NULL,NULL,1010,"Limited Business License",NULL,NULL,1305272,RENEW,NULL,12/15/2003,03/23/2004,N,02/16/2004,02/15/2005,12/22/2003,12/26/2007,AAI,NULL,NULL,NULL,NULL,NULL,"2022-10-06 12:53:44",test,NULL,"2004-03-23 00:00:00","2004-02-16 00:00:00","2005-02-15 00:00:00","2007-12-26 00:00:00",NULL
2511412-20210516,2779688,413393,26,"SSP AMERICA, INC.","ORANGE LINE","5700 S CICERO AVE  CB12ACB12B",CHICAGO,IL,60638,23,41,23-41,8,1006,"Retail Food Establishment",735,"Preparation of Food and Dining on Premise With Seating",2511412,RENEW,NULL,03/15/2021,04/16/2021,N,05/16/2021,05/15/2023,04/16/2021,04/19/2021,AAI,NULL,NULL,41.789329323,-87.741645644,"(41.789329323265385, -87.74164564419637)","2022-10-06 12:53:44",test,NULL,"2021-04-16 00:00:00","2021-05-16 00:00:00","2023-05-15 00:00:00","2021-04-19 00:00:00",NULL
2846240-20220511,2846240,472572,2,"SPACED OUT STUDIO LTD.","Spaced Out Studio/ SharkGravy","3256 W BRYN MAWR AVE 1",CHICAGO,IL,60659,39,NULL,39-,NULL,1010,"Limited Business License",900,"Sale of Furniture",2846240,ISSUE,05/11/2022,05/11/2022,05/11/2022,N,05/11/2022,01/15/2023,05/11/2022,05/11/2022,AAI,NULL,NULL,41.983150562,-87.711163354,"(41.98315056155403, -87.71116335426046)","2022-10-06 12:53:44",test,"2022-05-11 00:00:00","2022-05-11 00:00:00","2022-05-11 00:00:00","2023-01-15 00:00:00","2022-05-11 00:00:00",NULL
1804341-20211116,2810606,315336,1,"SAI KRIPA IN CHICAGO INC.","CANDY'S GROCERY","1366 W OHIO ST 1",CHICAGO,IL,60642,1,41,1-41,12,1781,Tobacco,763,"Retail Sale of Tobacco",1804341,RENEW,NULL,09/15/2021,05/11/2022,N,11/16/2021,11/15/2022,05/11/2022,05/11/2022,AAI,NULL,NULL,41.892599705,-87.662148696,"(41.89259970453201, -87.66214869596973)","2022-10-06 12:53:44",test,NULL,"2022-05-11 00:00:00","2021-11-16 00:00:00","2022-11-15 00:00:00","2022-05-11 00:00:00",NULL
2863326-20220808,2863326,488350,1,"LUNA'S ENLIGHTENMENT LLC","LUNA ENLIGHTENMENT","2959 E 88TH ST",CHICAGO,IL,60617,10,18,10-18,4,1010,"Limited Business License","904 | 911","Retail Sales of General Merchandise | Retail Sales of Clothing / Accessories / Shoes",2863326,ISSUE,08/08/2022,08/08/2022,08/08/2022,N,08/08/2022,08/15/2024,08/08/2022,08/08/2022,AAI,NULL,5,41.735442877,-87.551788629,"(41.735442876520004, -87.55178862932071)","2022-10-06 12:53:44",test,"2022-08-08 00:00:00","2022-08-08 00:00:00","2022-08-08 00:00:00","2024-08-15 00:00:00","2022-08-08 00:00:00",NULL
2232177-20220816,2854068,355521,11,"BRIGHT HORIZONS CHILDREN'S CENTERS LLC","UCHICAGO CHILD DEVELOPMENT CENTER DREXEL","5610 S DREXEL AVE 1 1",CHICAGO,IL,60637,5,52,5-52,2,1023,"Children's Services Facility License",820,"Supervision of, and Care for, Children 0-6 Years of Age, During the Day between 6am-9pm",2232177,RENEW,NULL,06/15/2022,06/23/2022,N,08/16/2022,08/15/2024,08/05/2022,08/08/2022,AAI,NULL,NULL,41.792809098,-87.603924229,"(41.792809098366355, -87.60392422867632)","2022-10-06 12:53:44",test,NULL,"2022-06-23 00:00:00","2022-08-16 00:00:00","2024-08-15 00:00:00","2022-08-08 00:00:00",NULL
34397-20200716,2728855,14839,1,"T AND T MEXICAN RESTAURANT, A CORPORATION","T & T MEXICAN RESTAURANT","8929 S COMMERCIAL AVE",CHICAGO,IL,60617,10,18,10-18,4,1475,"Consumption on Premises - Incidental Activity",638,"Consumption of Liquor on Premises",34397,RENEW,NULL,05/15/2020,07/30/2020,N,07/16/2020,07/15/2022,07/30/2020,05/11/2022,AAI,NULL,5,41.73284708,-87.551176144,"(41.732847079711306, -87.55117614380433)","2022-10-06 12:53:44",test,NULL,"2020-07-30 00:00:00","2020-07-16 00:00:00","2022-07-15 00:00:00","2022-05-11 00:00:00",NULL
2511412-20170511,2511412,413393,26,"SSP AMERICA, INC.","ORANGE LINE","5700 S CICERO AVE  CB12ACB12B",CHICAGO,IL,60638,23,41,23-41,8,1006,"Retail Food Establishment",735,"Preparation of Food and Dining on Premise With Seating",2511412,ISSUE,02/01/2017,03/27/2017,03/27/2017,N,05/11/2017,05/15/2019,05/11/2017,05/11/2017,AAI,NULL,NULL,41.789329323,-87.741645644,"(41.789329323265385, -87.74164564419637)","2022-10-06 12:53:44",test,"2017-02-01 00:00:00","2017-03-27 00:00:00","2017-05-11 00:00:00","2019-05-15 00:00:00","2017-05-11 00:00:00",NULL
